10113;635304352870000000;23;Friday;20;1;
10113;635304358900000000;23;Friday;20;1;
10113;635304364930000000;23;Friday;20;1;
10113;635304370970000000;23;Friday;20;1;
10113;635304377010000000;23;Friday;20;1;
10113;635304383040000000;23;Friday;20;1;
7018;635304350360000000;23;Friday;12;8;
7018;635304354150000000;23;Friday;11;9;
7018;635304360190000000;23;Friday;11;9;
7018;635304361990000000;23;Friday;9;11;
7018;635304368020000000;23;Friday;9;11;
7018;635304371410000000;23;Friday;8;12;
7018;635304377440000000;23;Friday;8;12;
7018;635304380190000000;23;Friday;7;13;
7018;635304383150000000;23;Friday;4;16;
4004;635304349490000000;23;Friday;21;0;
4004;635304355530000000;23;Friday;21;0;
4004;635304361560000000;23;Friday;21;0;
4004;635304367600000000;23;Friday;21;0;
4004;635304373640000000;23;Friday;21;0;
4004;635304379670000000;23;Friday;21;0;
8001;635304348190000000;23;Friday;15;11;
8001;635304349160000000;23;Friday;14;12;
8001;635304350650000000;23;Friday;14;12;
8001;635304350860000000;23;Friday;15;11;
8001;635304353610000000;23;Friday;13;13;
8001;635304357010000000;23;Friday;13;13;
8001;635304357600000000;23;Friday;11;15;
8001;635304359070000000;23;Friday;12;14;
8001;635304360240000000;23;Friday;11;15;
8001;635304362650000000;23;Friday;9;17;
8001;635304363250000000;23;Friday;8;18;
8001;635304363940000000;23;Friday;7;19;
8001;635304368070000000;23;Friday;8;18;
8001;635304374100000000;23;Friday;8;18;
8001;635304376390000000;23;Friday;9;17;
8001;635304377040000000;23;Friday;10;16;
8001;635304377090000000;23;Friday;11;15;
8001;635304378270000000;23;Friday;11;15;
8001;635304378290000000;23;Friday;12;14;
8001;635304379350000000;23;Friday;12;14;
8001;635304379800000000;23;Friday;14;12;
8001;635304381170000000;23;Friday;13;13;
8001;635304381850000000;23;Friday;14;12;
8001;635304383510000000;23;Friday;14;12;
9042;635304348550000000;23;Friday;19;0;
9042;635304354590000000;23;Friday;19;0;
9042;635304360630000000;23;Friday;19;0;
9042;635304366670000000;23;Friday;19;0;
9042;635304372700000000;23;Friday;19;0;
9042;635304378740000000;23;Friday;19;0;
8052;635304348990000000;23;Friday;0;14;
8052;635304355020000000;23;Friday;0;14;
8052;635304361060000000;23;Friday;0;14;
8052;635304367090000000;23;Friday;0;14;
8052;635304373130000000;23;Friday;0;14;
8052;635304379160000000;23;Friday;0;14;
9044;635304353570000000;23;Friday;9;6;
9044;635304359620000000;23;Friday;9;6;
9044;635304365660000000;23;Friday;9;6;
9044;635304371690000000;23;Friday;9;6;
9044;635304377730000000;23;Friday;9;6;
9044;635304381840000000;23;Friday;8;7;
10001;635304352570000000;23;Friday;26;3;
10001;635304358610000000;23;Friday;26;3;
10001;635304364640000000;23;Friday;26;3;
10001;635304370680000000;23;Friday;26;3;
10001;635304376720000000;23;Friday;26;3;
10001;635304382770000000;23;Friday;26;3;
10001;635304383800000000;23;Friday;25;4;
5030;635304353810000000;23;Friday;32;0;
5030;635304359850000000;23;Friday;32;0;
5030;635304365890000000;23;Friday;32;0;
5030;635304371920000000;23;Friday;32;0;
5030;635304377960000000;23;Friday;32;0;
7056;635304350360000000;23;Friday;0;22;
7056;635304356410000000;23;Friday;0;22;
7056;635304359410000000;23;Friday;0;22;
7056;635304363450000000;23;Friday;0;22;
7056;635304363940000000;23;Friday;1;21;
7056;635304366010000000;23;Friday;1;21;
7056;635304366710000000;23;Friday;2;20;
